"Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21276053, SEN S/N: 21276053)","Temp, ¡C (LGR S/N: 21276053, SEN S/N: 21276053)"
8/15/23 23:45,7.64,21.96
8/16/23 0:00,7.71,21.86
8/16/23 0:15,7.8,21.76
8/16/23 0:30,7.69,21.68
8/16/23 0:45,7.67,21.58
8/16/23 1:00,7.69,21.5
8/16/23 1:15,7.81,21.4
8/16/23 1:30,7.76,21.32
8/16/23 1:45,7.82,21.24
8/16/23 2:00,7.87,21.16
8/16/23 2:15,7.87,21.08
8/16/23 2:30,7.94,21
8/16/23 2:45,7.98,20.92
8/16/23 3:00,7.9,20.84
8/16/23 3:15,7.94,20.76
8/16/23 3:30,7.91,20.7
8/16/23 3:45,7.91,20.62
8/16/23 4:00,7.95,20.54
8/16/23 4:15,7.94,20.46
8/16/23 4:30,8.09,20.38
8/16/23 4:45,8.08,20.3
8/16/23 5:00,8.08,20.24
8/16/23 5:15,8.09,20.16
8/16/23 5:30,8.13,20.1
8/16/23 5:45,8.14,20.02
8/16/23 6:00,8.1,19.96
8/16/23 6:15,8.17,19.88
8/16/23 6:30,8.14,19.84
8/16/23 6:45,8.18,19.76
8/16/23 7:00,8.15,19.72
8/16/23 7:15,8.25,19.68
8/16/23 7:30,8.24,19.62
8/16/23 7:45,8.28,19.62
8/16/23 8:00,8.22,19.62
8/16/23 8:15,8.17,19.62
8/16/23 8:30,8.1,19.68
8/16/23 8:45,8.1,19.74
8/16/23 9:00,8.1,19.8
8/16/23 9:15,8.15,19.86
8/16/23 9:30,8.11,19.92
8/16/23 9:45,8.05,20
8/16/23 10:00,8,20.08
8/16/23 10:15,8.04,20.18
8/16/23 10:30,8.04,20.28
8/16/23 10:45,8.06,20.4
8/16/23 11:00,8.06,20.5
8/16/23 11:15,8.05,20.6
8/16/23 11:30,8.07,20.72
8/16/23 11:45,8.08,20.86
8/16/23 12:00,8.06,20.96
8/16/23 12:15,8.01,21.06
8/16/23 12:30,7.93,21.16
8/16/23 12:45,7.92,21.24
8/16/23 13:00,7.87,21.36
8/16/23 13:15,7.82,21.44
8/16/23 13:30,7.84,21.5
8/16/23 13:45,7.85,21.6
8/16/23 14:00,7.86,21.72
8/16/23 14:15,7.85,21.86
8/16/23 14:30,7.77,21.96
8/16/23 14:45,7.66,22.06
8/16/23 15:00,7.57,22.16
8/16/23 15:15,7.45,22.26
8/16/23 15:30,7.38,22.32
8/16/23 15:45,7.31,22.4
8/16/23 16:00,7.26,22.44
8/16/23 16:15,7.19,22.48
8/16/23 16:30,7.06,22.54
8/16/23 16:45,7.03,22.56
8/16/23 17:00,7.05,22.62
8/16/23 17:15,7.3,22.66
8/16/23 17:30,7.69,22.6
8/16/23 17:45,7.62,22.56
8/16/23 18:00,7.65,22.5
8/16/23 18:15,7.8,22.44
8/16/23 18:30,7.76,22.4
8/16/23 18:45,7.73,22.34
8/16/23 19:00,7.75,22.3
8/16/23 19:15,7.74,22.26
8/16/23 19:30,7.73,22.22
8/16/23 19:45,7.74,22.16
8/16/23 20:00,7.71,22.1
8/16/23 20:15,7.65,22
8/16/23 20:30,7.63,21.92
8/16/23 20:45,7.59,21.84
8/16/23 21:00,7.57,21.78
8/16/23 21:15,7.44,21.72
8/16/23 21:30,7.63,21.66
8/16/23 21:45,7.47,21.6
8/16/23 22:00,7.36,21.54
8/16/23 22:15,7.34,21.5
8/16/23 22:30,7.44,21.44
8/16/23 22:45,7.54,21.38
8/16/23 23:00,7.35,21.34
8/16/23 23:15,7.4,21.28
8/16/23 23:30,7.46,21.22
8/16/23 23:45,7.44,21.16
8/17/23 0:00,7.59,21.1
8/17/23 0:15,7.74,21.04
8/17/23 0:30,7.76,20.98
8/17/23 0:45,7.78,20.92
8/17/23 1:00,7.72,20.86
8/17/23 1:15,7.81,20.78
8/17/23 1:30,7.78,20.72
8/17/23 1:45,7.84,20.64
8/17/23 2:00,7.81,20.58
8/17/23 2:15,7.89,20.5
8/17/23 2:30,7.91,20.44
8/17/23 2:45,7.92,20.34
8/17/23 3:00,7.89,20.28
8/17/23 3:15,7.99,20.2
8/17/23 3:30,7.99,20.12
8/17/23 3:45,8.01,20.04
8/17/23 4:00,7.95,19.98
8/17/23 4:15,8.04,19.9
8/17/23 4:30,8.07,19.82
8/17/23 4:45,8.09,19.76
8/17/23 5:00,8.09,19.68
8/17/23 5:15,8.09,19.6
8/17/23 5:30,8.1,19.54
8/17/23 5:45,8.11,19.46
8/17/23 6:00,8.15,19.4
8/17/23 6:15,8.19,19.34
8/17/23 6:30,8.18,19.28
8/17/23 6:45,8.18,19.22
8/17/23 7:00,8.17,19.16
8/17/23 7:15,8.18,19.12
8/17/23 7:30,8.16,19.08
8/17/23 7:45,8.17,19.08
8/17/23 8:00,8.16,19.06
8/17/23 8:15,8.14,19.08
8/17/23 8:30,8.13,19.12
8/17/23 8:45,8.17,19.16
8/17/23 9:00,8.18,19.22
8/17/23 9:15,8.17,19.28
8/17/23 9:30,8.17,19.34
8/17/23 9:45,8.13,19.42
8/17/23 10:00,8.05,19.52
8/17/23 10:15,8.09,19.62
8/17/23 10:30,8.1,19.74
8/17/23 10:45,8.09,19.82
8/17/23 11:00,8.06,19.92
8/17/23 11:15,8.04,20
8/17/23 11:30,8,20.12
8/17/23 11:45,7.98,20.22
8/17/23 12:00,7.99,20.3
8/17/23 12:15,8.02,20.4
8/17/23 12:30,7.94,20.48
8/17/23 12:45,7.87,20.58
8/17/23 13:00,7.79,20.7
8/17/23 13:15,7.74,20.78
8/17/23 13:30,7.67,20.88
8/17/23 13:45,7.65,20.98
8/17/23 14:00,7.59,21.08
8/17/23 14:15,7.61,21.18
8/17/23 14:30,7.58,21.24
8/17/23 14:45,7.51,21.36
8/17/23 15:00,7.42,21.46
8/17/23 15:15,7.37,21.54
8/17/23 15:30,7.37,21.6
8/17/23 15:45,7.32,21.68
8/17/23 16:00,7.29,21.76
8/17/23 16:15,7.26,21.82
8/17/23 16:30,7.25,21.88
8/17/23 16:45,7.21,21.98
8/17/23 17:00,7.16,22.02
8/17/23 17:15,7.11,22.12
8/17/23 17:30,7.03,22.18
8/17/23 17:45,6.94,22.22
8/17/23 18:00,6.91,22.24
8/17/23 18:15,6.98,22.22
8/17/23 18:30,7.04,22.22
8/17/23 18:45,7.04,22.18
8/17/23 19:00,7.03,22.12
8/17/23 19:15,7.04,22.08
8/17/23 19:30,7.18,22.02
8/17/23 19:45,7.27,21.94
8/17/23 20:00,7.41,21.88
8/17/23 20:15,7.66,21.8
8/17/23 20:30,7.71,21.72
8/17/23 20:45,7.72,21.64
8/17/23 21:00,7.72,21.56
8/17/23 21:15,7.71,21.48
8/17/23 21:30,7.69,21.4
8/17/23 21:45,7.63,21.32
8/17/23 22:00,7.62,21.22
8/17/23 22:15,7.62,21.16
8/17/23 22:30,7.59,21.08
8/17/23 22:45,7.45,21
8/17/23 23:00,7.36,20.92
8/17/23 23:15,7.36,20.82
8/17/23 23:30,7.4,20.76
8/17/23 23:45,7.57,20.68
8/18/23 0:00,7.59,20.6
8/18/23 0:15,7.6,20.52
8/18/23 0:30,7.81,20.44
8/18/23 0:45,7.86,20.36
8/18/23 1:00,7.9,20.28
8/18/23 1:15,7.79,20.22
8/18/23 1:30,7.72,20.14
8/18/23 1:45,7.94,20.06
8/18/23 2:00,7.95,20
8/18/23 2:15,8,19.94
8/18/23 2:30,8.04,19.88
8/18/23 2:45,7.96,19.8
8/18/23 3:00,7.99,19.76
8/18/23 3:15,7.99,19.7
8/18/23 3:30,8.06,19.64
8/18/23 3:45,8.06,19.6
8/18/23 4:00,8.08,19.54
8/18/23 4:15,8.02,19.48
8/18/23 4:30,8.1,19.44
8/18/23 4:45,8,19.4
8/18/23 5:00,8.05,19.36
8/18/23 5:15,8.04,19.3
8/18/23 5:30,8.05,19.26
8/18/23 5:45,8.06,19.22
8/18/23 6:00,8.07,19.18
8/18/23 6:15,8.09,19.14
8/18/23 6:30,8.14,19.1
8/18/23 6:45,8.14,19.06
8/18/23 7:00,8.15,19.02
8/18/23 7:15,8.15,18.98
8/18/23 7:30,8.21,18.96
8/18/23 7:45,8.2,18.96
8/18/23 8:00,8.17,18.96
8/18/23 8:15,8.15,19
8/18/23 8:30,8.11,19.02
8/18/23 8:45,8.19,19.1
8/18/23 9:00,8.22,19.16
8/18/23 9:15,8.2,19.2
8/18/23 9:30,8.2,19.28
8/18/23 9:45,8.16,19.36
8/18/23 10:00,8.09,19.44
8/18/23 10:15,8.03,19.5
8/18/23 10:30,8.02,19.58
8/18/23 10:45,8.05,19.66
8/18/23 11:00,8,19.76
8/18/23 11:15,7.98,19.86
8/18/23 11:30,7.96,19.96
8/18/23 11:45,7.95,20.08
8/18/23 12:00,7.91,20.18
8/18/23 12:15,7.86,20.3
8/18/23 12:30,7.82,20.38
8/18/23 12:45,7.75,20.46
8/18/23 13:00,7.69,20.56
8/18/23 13:15,7.6,20.66
8/18/23 13:30,7.52,20.72
8/18/23 13:45,7.46,20.8
8/18/23 14:00,7.45,20.9
8/18/23 14:15,7.5,20.98
8/18/23 14:30,7.43,21.06
8/18/23 14:45,7.44,21.18
8/18/23 15:00,7.41,21.24
8/18/23 15:15,7.37,21.28
8/18/23 15:30,7.32,21.36
8/18/23 15:45,7.27,21.42
8/18/23 16:00,7.22,21.46
8/18/23 16:15,7.17,21.52
8/18/23 16:30,7.12,21.56
8/18/23 16:45,7.07,21.62
8/18/23 17:00,7.07,21.72
8/18/23 17:15,7.05,21.76
8/18/23 17:30,7.01,21.8
8/18/23 17:45,6.96,21.84
8/18/23 18:00,6.89,21.88
8/18/23 18:15,6.86,21.88
8/18/23 18:30,6.79,21.92
8/18/23 18:45,6.76,21.92
8/18/23 19:00,6.71,21.92
8/18/23 19:15,6.64,21.94
8/18/23 19:30,6.6,21.96
8/18/23 19:45,6.57,21.94
8/18/23 20:00,6.53,21.96
8/18/23 20:15,6.38,21.96
8/18/23 20:30,6.21,22
8/18/23 20:45,6.18,22
8/18/23 21:00,6.17,22
8/18/23 21:15,6.17,22
8/18/23 21:30,6.14,21.98
8/18/23 21:45,6.16,21.98
8/18/23 22:00,6.37,21.94
8/18/23 22:15,6.77,21.9
8/18/23 22:30,7.18,21.86
8/18/23 22:45,7.33,21.8
8/18/23 23:00,7.44,21.74
8/18/23 23:15,7.57,21.68
8/18/23 23:30,7.64,21.62
8/18/23 23:45,7.7,21.56
8/19/23 0:00,7.7,21.5
8/19/23 0:15,7.71,21.44
8/19/23 0:30,7.67,21.36
8/19/23 0:45,7.65,21.3
8/19/23 1:00,7.62,21.24
8/19/23 1:15,7.62,21.18
8/19/23 1:30,7.63,21.12
8/19/23 1:45,7.5,21.04
8/19/23 2:00,7.54,20.98
8/19/23 2:15,7.5,20.92
8/19/23 2:30,7.56,20.86
8/19/23 2:45,7.57,20.8
8/19/23 3:00,7.58,20.74
8/19/23 3:15,7.63,20.68
8/19/23 3:30,7.63,20.62
8/19/23 3:45,7.66,20.56
8/19/23 4:00,7.73,20.5
8/19/23 4:15,7.69,20.44
8/19/23 4:30,7.73,20.38
8/19/23 4:45,7.76,20.34
8/19/23 5:00,7.74,20.28
8/19/23 5:15,7.76,20.22
8/19/23 5:30,7.76,20.16
8/19/23 5:45,7.76,20.12
8/19/23 6:00,7.81,20.04
8/19/23 6:15,7.86,20
8/19/23 6:30,7.81,19.94
8/19/23 6:45,7.84,19.9
8/19/23 7:00,7.88,19.84
8/19/23 7:15,7.9,19.8
8/19/23 7:30,7.9,19.78
8/19/23 7:45,7.88,19.74
8/19/23 8:00,7.87,19.74
8/19/23 8:15,7.84,19.74
8/19/23 8:30,7.86,19.76
8/19/23 8:45,7.86,19.8
8/19/23 9:00,7.88,19.82
8/19/23 9:15,7.87,19.86
8/19/23 9:30,7.8,19.92
8/19/23 9:45,7.77,19.98
8/19/23 10:00,7.87,20.06
8/19/23 10:15,7.93,20.12
8/19/23 10:30,7.94,20.2
8/19/23 10:45,7.95,20.28
8/19/23 11:00,7.93,20.34
8/19/23 11:15,7.9,20.4
8/19/23 11:30,7.84,20.5
8/19/23 11:45,7.82,20.6
8/19/23 12:00,7.81,20.7
8/19/23 12:15,7.77,20.8
8/19/23 12:30,7.75,20.86
8/19/23 12:45,7.71,20.92
8/19/23 13:00,7.66,20.98
8/19/23 13:15,7.62,21.04
8/19/23 13:30,7.56,21.12
8/19/23 13:45,7.49,21.2
8/19/23 14:00,7.44,21.3
8/19/23 14:15,7.44,21.38
8/19/23 14:30,7.48,21.42
8/19/23 14:45,7.43,21.52
8/19/23 15:00,7.38,21.58
8/19/23 15:15,7.34,21.64
8/19/23 15:30,7.3,21.72
8/19/23 15:45,7.28,21.76
8/19/23 16:00,7.22,21.82
8/19/23 16:15,7.17,21.88
8/19/23 16:30,7.13,21.92
8/19/23 16:45,7.13,21.96
8/19/23 17:00,7.07,22.02
8/19/23 17:15,7.05,22.04
8/19/23 17:30,7,22.08
8/19/23 17:45,6.94,22.08
8/19/23 18:00,6.9,22.08
8/19/23 18:15,6.86,22.1
8/19/23 18:30,6.79,22.14
8/19/23 18:45,6.73,22.14
8/19/23 19:00,6.69,22.16
8/19/23 19:15,6.64,22.18
8/19/23 19:30,6.59,22.18
8/19/23 19:45,6.54,22.2
8/19/23 20:00,6.49,22.22
8/19/23 20:15,6.43,22.22
8/19/23 20:30,6.38,22.24
8/19/23 20:45,6.35,22.26
8/19/23 21:00,6.31,22.24
8/19/23 21:15,6.26,22.22
8/19/23 21:30,6.21,22.18
8/19/23 21:45,6.21,22.12
8/19/23 22:00,6.79,22.06
8/19/23 22:15,7.19,22
8/19/23 22:30,7.6,21.92
8/19/23 22:45,7.63,21.86
8/19/23 23:00,7.63,21.78
8/19/23 23:15,7.64,21.72
8/19/23 23:30,7.62,21.64
8/19/23 23:45,7.61,21.58
8/20/23 0:00,7.61,21.5
8/20/23 0:15,7.56,21.44
8/20/23 0:30,7.42,21.38
8/20/23 0:45,7.46,21.3
8/20/23 1:00,7.43,21.24
8/20/23 1:15,7.43,21.18
8/20/23 1:30,7.49,21.12
8/20/23 1:45,7.44,21.06
8/20/23 2:00,7.55,21
8/20/23 2:15,7.49,20.94
8/20/23 2:30,7.48,20.88
8/20/23 2:45,7.52,20.82
8/20/23 3:00,7.5,20.76
8/20/23 3:15,7.71,20.7
8/20/23 3:30,7.8,20.64
8/20/23 3:45,7.69,20.6
8/20/23 4:00,7.65,20.54
8/20/23 4:15,7.71,20.48
8/20/23 4:30,7.73,20.44
8/20/23 4:45,7.74,20.38
8/20/23 5:00,7.78,20.32
8/20/23 5:15,7.8,20.28
8/20/23 5:30,7.85,20.22
8/20/23 5:45,7.88,20.18
8/20/23 6:00,7.95,20.12
8/20/23 6:15,7.99,20.08
8/20/23 6:30,8,20.04
8/20/23 6:45,8.03,20
8/20/23 7:00,8.04,19.96
8/20/23 7:15,8.08,19.92
8/20/23 7:30,8.05,19.92
8/20/23 7:45,8.05,19.92
8/20/23 8:00,8.02,19.92
8/20/23 8:15,7.95,19.92
8/20/23 8:30,7.88,19.94
8/20/23 8:45,7.86,19.98
8/20/23 9:00,7.86,20.02
8/20/23 9:15,7.76,20.08
8/20/23 9:30,7.73,20.12
8/20/23 9:45,7.79,20.18
8/20/23 10:00,7.85,20.22
8/20/23 10:15,7.82,20.28
8/20/23 10:30,7.81,20.34
8/20/23 10:45,7.82,20.42
8/20/23 11:00,7.8,20.48
8/20/23 11:15,7.77,20.56
8/20/23 11:30,7.72,20.64
8/20/23 11:45,7.66,20.74
8/20/23 12:00,7.63,20.8
8/20/23 12:15,7.58,20.86
8/20/23 12:30,7.54,20.9
8/20/23 12:45,7.49,20.94
8/20/23 13:00,7.46,20.98
8/20/23 13:15,7.42,21.06
8/20/23 13:30,7.34,21.12
8/20/23 13:45,7.3,21.18
8/20/23 14:00,7.28,21.28
8/20/23 14:15,7.3,21.36
8/20/23 14:30,7.36,21.42
8/20/23 14:45,7.33,21.48
8/20/23 15:00,7.29,21.56
8/20/23 15:15,7.23,21.62
8/20/23 15:30,7.18,21.66
8/20/23 15:45,7.14,21.7
8/20/23 16:00,7.08,21.74
8/20/23 16:15,7.06,21.78
8/20/23 16:30,7.02,21.84
8/20/23 16:45,6.99,21.86
8/20/23 17:00,6.98,21.9
8/20/23 17:15,6.98,21.94
8/20/23 17:30,6.93,21.96
8/20/23 17:45,6.91,21.98
8/20/23 18:00,6.88,22
8/20/23 18:15,6.85,22.02
8/20/23 18:30,6.81,22.06
8/20/23 18:45,6.75,22.1
8/20/23 19:00,6.71,22.1
8/20/23 19:15,6.67,22.12
8/20/23 19:30,6.61,22.14
8/20/23 19:45,6.58,22.14
8/20/23 20:00,6.54,22.18
8/20/23 20:15,6.48,22.2
8/20/23 20:30,6.33,22.24
8/20/23 20:45,6.27,22.24
8/20/23 21:00,6.23,22.26
8/20/23 21:15,6.16,22.26
8/20/23 21:30,6.12,22.28
8/20/23 21:45,6.09,22.28
8/20/23 22:00,6.05,22.28
8/20/23 22:15,6.02,22.28
8/20/23 22:30,5.99,22.26
8/20/23 22:45,5.97,22.24
8/20/23 23:00,5.94,22.2
8/20/23 23:15,5.91,22.16
8/20/23 23:30,5.87,22.1
8/20/23 23:45,6.35,22.04
8/21/23 0:00,6.97,22
8/21/23 0:15,7.11,21.94
8/21/23 0:30,7.5,21.88
8/21/23 0:45,7.55,21.82
8/21/23 1:00,7.6,21.76
8/21/23 1:15,7.62,21.7
8/21/23 1:30,7.59,21.64
8/21/23 1:45,7.58,21.6
8/21/23 2:00,7.54,21.54
8/21/23 2:15,7.52,21.48
8/21/23 2:30,7.52,21.42
8/21/23 2:45,7.5,21.38
8/21/23 3:00,7.45,21.32
8/21/23 3:15,7.4,21.28
8/21/23 3:30,7.49,21.24
8/21/23 3:45,7.45,21.18
8/21/23 4:00,7.32,21.14
8/21/23 4:15,7.3,21.1
8/21/23 4:30,7.29,21.06
8/21/23 4:45,7.31,21.02
8/21/23 5:00,7.32,20.98
8/21/23 5:15,7.33,20.96
8/21/23 5:30,7.33,20.92
8/21/23 5:45,7.34,20.88
8/21/23 6:00,7.33,20.84
8/21/23 6:15,7.37,20.82
8/21/23 6:30,7.45,20.78
8/21/23 6:45,7.58,20.74
8/21/23 7:00,7.65,20.72
8/21/23 7:15,7.65,20.7
8/21/23 7:30,7.64,20.68
8/21/23 7:45,7.64,20.66
8/21/23 8:00,7.64,20.66
8/21/23 8:15,7.62,20.68
8/21/23 8:30,7.65,20.72
8/21/23 8:45,7.7,20.76
8/21/23 9:00,7.8,20.78
8/21/23 9:15,7.76,20.82
8/21/23 9:30,7.72,20.86
8/21/23 9:45,7.69,20.9
8/21/23 10:00,7.61,20.94
8/21/23 10:15,7.59,20.98
8/21/23 10:30,7.55,21.02
8/21/23 10:45,7.52,21.08
8/21/23 11:00,7.48,21.14
8/21/23 11:15,7.43,21.2
8/21/23 11:30,7.38,21.26
8/21/23 11:45,7.33,21.34
8/21/23 12:00,7.29,21.4
8/21/23 12:15,7.26,21.42
8/21/23 12:30,7.22,21.48
8/21/23 12:45,7.17,21.52
8/21/23 13:00,7.03,23.02
8/21/23 13:15,6.77,21.9
8/21/23 13:30,6.71,21.78
8/21/23 13:45,6.68,21.8
8/21/23 14:00,6.64,21.86
8/21/23 14:15,6.59,21.92
8/21/23 14:30,6.56,21.94
8/21/23 14:45,6.55,21.96
8/21/23 15:00,6.5,22.02
8/21/23 15:15,6.46,22.04
8/21/23 15:30,6.42,22.08
8/21/23 15:45,6.37,22.1
8/21/23 16:00,6.3,22.14
8/21/23 16:15,6.26,22.16
8/21/23 16:30,6.23,22.18
8/21/23 16:45,6.16,22.22
8/21/23 17:00,6.13,22.24
8/21/23 17:15,6.09,22.26
8/21/23 17:30,6.04,22.28
8/21/23 17:45,6,22.32
8/21/23 18:00,5.96,22.34
8/21/23 18:15,5.91,22.36
8/21/23 18:30,5.86,22.42
8/21/23 18:45,5.81,22.46
8/21/23 19:00,5.74,22.48
8/21/23 19:15,5.7,22.5
8/21/23 19:30,5.64,22.52
8/21/23 19:45,5.6,22.5
8/21/23 20:00,5.52,22.52
8/21/23 20:15,5.43,22.52
8/21/23 20:30,5.36,22.58
8/21/23 20:45,5.33,22.6
8/21/23 21:00,5.3,22.6
8/21/23 21:15,5.27,22.6
8/21/23 21:30,5.24,22.62
8/21/23 21:45,5.16,22.6
8/21/23 22:00,5.14,22.62
8/21/23 22:15,5.1,22.62
8/21/23 22:30,5.07,22.64
8/21/23 22:45,5.03,22.62
8/21/23 23:00,5,22.62
8/21/23 23:15,4.97,22.62
8/21/23 23:30,4.93,22.62
8/21/23 23:45,4.87,22.62
8/22/23 0:00,4.83,22.64
8/22/23 0:15,4.79,22.64
8/22/23 0:30,4.73,22.62
8/22/23 0:45,4.69,22.64
