Site,Initials,Date of Check,Start Time,End Time,Routine or Special Trip?,Temp (*C),Pressure (mmHg),DO (%),DO (mg/L),Specific Cond. (uS/cm),Cond. (uS),pH,TDS (mg/L),Turbidity (NTU),Stage (ft),Connected?,Flowing?,Weather,Samples Not Collected,Notes,Any Issues to Report?,Follow Up Needed?,Follow Up Complete?
YMR,"SF, CB",8/4/23,11,13:45,calibration,25.2,722.7,13.2,1.08,1297,1300,7.13,,,0.58,N,N,"warm, cloudy",,"calibrated; X2 not posting on and not logging since 8/2, deployed sensors with batteries and pulled x2 to troubleshoot in lab",,Y - redeploy X2 after fixing,
YMR,"RW, SF",12/2/22,11:15,12:30,,,,,,,,,,,,Dry,Dry,"windy, cloudy",dry,"pools upstream and downstream of super sensor, pulled EXO and minidot and X2, leaving pressure transducers ",,,
YMR,"CW, AS",6/22/23,11:15,11:45,,22.7,724.8,51.6,4.38,580,552,7.28,,,0.48m,N,N,sunny 80s,,super sensor pool width 4.3m; too low stage for slugs; taken at midpoint of sensor casing; too low stage for slugs,,,
YMR,"JW, CW",5/22/23,01:25,,,17.8,726.4,,5.52,577,497.4,7.42,,,0.4,Y,Y,sunny cloudy warm,,,,,
YMR,"AS, SF",8/29/23,12:15,12:45,Routine,,,,,,,,,,,N,N,hot sunny humid,dry,"redeployed X2, DO logger removed",,,
YMR,"CLB, SF",7/11/24,11:28,12:23,Routine,24.9,725.4,60.5,4.77,563,563,7.54,,,0,Y,N,hot,dry,"dry ""above waterfall"" ~5m US, dry~4m DS, sensor only partically in water due to pool drying- dry out under housing to better submerge sensor; end time = staff gauge time",,,
YMR,"SMF, AB",7/24/24,10:30,,Routine,,,,,,,,,,0,Dry,Dry,"warm, sunny",dry,dry,,,
YMR,"SMF, CD",8/13/24,11:30,12:15,Routine,22.6,726.6,"3.79, 45.5",,,,,,,,Dry,Dry,,,,,,
SHN,"SF, CB, CW, ES",3/24/23,09:00,15:00,Special (deployment),,,,,,,,,,1.12,Y,Y,"cool, cloudy",no samples,deployment successful! Had to run from a fire,N,N,
SHN,"SF, RW",4/13/23,1:00 PM,1:30 PM,,14,723.6,43.1,4.44,744,587,,,,1.1,N,N,hot breezy,,,,,
SHN,"CLB, AS",6/21/23,11:30 AM,12:00 PM,,17,730,,7.16,723,612,7..32,,,1.28,Y,Y,overcast,,maybe need to move FPOM over 1 port,,,
SHN,"AS, CB",8/31/23,10:40 AM,10:55 AM,Routine,,,,,,,,,,,Dry,Dry,sunny warm clear,site was dry,still seeing water striders at super sensor,,,
